flex_1,flex_2,flex_3,flex_4,flex_5,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz
-12,-60,-60,30,30,0.04,0.03,0.03,8.92,3.53,1.02
-13,-60,-60,26,26,0.03,-0.01,0.02,9,3.62,0.88
-14,-60,-60,26,26,-0.01,-0.01,0.02,9.04,3.46,0.93
-15,-60,-60,26,26,0.01,0.02,0.01,9.03,3.49,0.83
-13,-60,-60,26,26,-0.01,0.04,0.01,8.84,3.42,0.79
-14,-60,-60,26,26,0,0.01,0.01,8.97,3.62,0.87
-12,-60,-60,26,26,0,0.01,0.01,8.97,3.66,0.99
-13,-60,-60,28,28,-0.05,0.06,0.02,8.99,3.55,0.89
-14,-60,-60,28,28,-0.05,0.07,0.01,8.83,3.47,0.93
-15,-60,-60,26,26,-0.04,0.02,0,8.91,3.57,1.18
-13,-60,-60,28,28,-0.06,0.01,0.01,9.06,3.54,1.28
-14,-60,-60,30,30,-0.04,0.02,0,9.1,3.55,0.98
-12,-60,-60,30,30,-0.02,0.04,0,8.91,3.68,0.99
-13,-60,-60,28,28,0,0.03,0.02,8.94,3.64,0.95
-14,-60,-60,28,28,-0.03,0.03,0.02,8.83,3.49,0.95
-15,-60,-60,28,28,0,0.02,0.02,8.96,3.43,0.99
-13,-60,-60,26,26,0.03,0.03,0.01,9.07,3.5,0.94
-14,-60,-60,30,30,0.01,0.03,0.01,9,3.59,1.05
-12,-60,-60,26,26,-0.02,0.03,0.01,8.92,3.61,1.05
-13,-60,-60,26,26,0.01,0.02,0.02,8.95,3.59,1.04
-14,-60,-60,28,28,0.03,0.02,0.02,9.02,3.62,1.03
-15,-60,-60,26,26,0.02,0.03,0.02,9,3.6,0.89
-13,-60,-60,28,28,0.01,0.04,0.02,8.9,3.47,0.95
-14,-60,-60,28,28,0,0.03,0.01,8.91,3.39,1
-12,-60,-60,30,30,0.03,0.03,0.01,8.96,3.47,1
-13,-60,-60,26,26,0.03,0.03,0.01,8.99,3.6,1.08
-14,-60,-60,28,28,0,0.03,0,8.95,3.53,0.98
-15,-60,-60,28,28,-0.01,0.03,0.01,8.97,3.54,1.07
-13,-60,-60,28,28,-0.01,0.03,0.01,8.94,3.61,1.07
-14,-60,-60,30,30,0,0,0.02,9.04,3.64,1.11
-12,-60,-60,28,28,-0.01,0.03,0.03,9.04,3.66,0.98
-13,-60,-60,28,28,-0.04,0.03,0.02,9.01,3.47,1.17
-14,-60,-60,30,30,0.04,0.03,0.03,8.92,3.53,1.02
-15,-60,-60,26,26,0.03,-0.01,0.02,9,3.62,0.88
-13,-60,-60,26,26,-0.01,-0.01,0.02,9.04,3.46,0.93
-14,-60,-60,26,26,0.01,0.02,0.01,9.03,3.49,0.83
-12,-60,-60,26,26,-0.01,0.04,0.01,8.84,3.42,0.79
-13,-60,-60,26,26,0,0.01,0.01,8.97,3.62,0.87
-14,-60,-60,26,26,0,0.01,0.01,8.97,3.66,0.99
-15,-60,-60,28,28,-0.05,0.06,0.02,8.99,3.55,0.89
-13,-60,-60,28,28,-0.05,0.07,0.01,8.83,3.47,0.93
-14,-60,-60,26,26,-0.04,0.02,0,8.91,3.57,1.18
-12,-60,-60,28,28,-0.06,0.01,0.01,9.06,3.54,1.28
-13,-60,-60,30,30,-0.04,0.02,0,9.1,3.55,0.98
-14,-60,-60,30,30,-0.02,0.04,0,8.91,3.68,0.99
-15,-60,-60,28,28,0,0.03,0.02,8.94,3.64,0.95
-13,-60,-60,28,28,-0.03,0.03,0.02,8.83,3.49,0.95
-12,-60,-60,28,28,0,0.02,0.02,8.96,3.43,0.99
-13,-60,-60,26,26,0.03,0.03,0.01,9.07,3.5,0.94
-14,-60,-60,30,30,0.01,0.03,0.01,9,3.59,1.05
-15,-60,-60,26,26,-0.02,0.03,0.01,8.92,3.61,1.05
-13,-60,-60,26,26,0.01,0.02,0.02,8.95,3.59,1.04
-14,-60,-60,28,28,0.03,0.02,0.02,9.02,3.62,1.03
-12,-60,-60,26,26,0.02,0.03,0.02,9,3.6,0.89
-13,-60,-60,28,28,0.01,0.04,0.02,8.9,3.47,0.95
-14,-60,-60,28,28,0,0.03,0.01,8.91,3.39,1
-15,-60,-60,30,30,0.03,0.03,0.01,8.96,3.47,1
-13,-60,-60,26,26,0.03,0.03,0.01,8.99,3.6,1.08
-14,-60,-60,28,28,0,0.03,0,8.95,3.53,0.98
-12,-60,-60,28,28,-0.01,0.03,0.01,8.97,3.54,1.07
-13,-60,-60,28,28,-0.01,0.03,0.01,8.94,3.61,1.07
-14,-60,-60,30,30,0,0,0.02,9.04,3.64,1.11
-15,-60,-60,28,28,-0.01,0.03,0.03,9.04,3.66,0.98
-13,-60,-60,28,28,-0.04,0.03,0.02,9.01,3.47,1.17
-14,-60,-60,30,30,0.04,0.03,0.03,8.92,3.53,1.02
-12,-60,-60,26,26,0.03,-0.01,0.02,9,3.62,0.88
-13,-60,-60,26,26,-0.01,-0.01,0.02,9.04,3.46,0.93
-14,-60,-60,26,26,0.01,0.02,0.01,9.03,3.49,0.83
-15,-60,-60,26,26,-0.01,0.04,0.01,8.84,3.42,0.79
-13,-60,-60,26,26,0,0.01,0.01,8.97,3.62,0.87
-14,-60,-60,26,26,0,0.01,0.01,8.97,3.66,0.99
-12,-60,-60,28,28,-0.05,0.06,0.02,8.99,3.55,0.89
-13,-60,-60,28,28,-0.05,0.07,0.01,8.83,3.47,0.93
-14,-60,-60,26,26,-0.04,0.02,0,8.91,3.57,1.18
-15,-60,-60,28,28,-0.06,0.01,0.01,9.06,3.54,1.28
-13,-60,-60,30,30,-0.04,0.02,0,9.1,3.55,0.98
-14,-60,-60,30,30,-0.02,0.04,0,8.91,3.68,0.99
-12,-60,-60,28,28,0,0.03,0.02,8.94,3.64,0.95
-13,-60,-60,28,28,-0.03,0.03,0.02,8.83,3.49,0.95
-14,-60,-60,28,28,0,0.02,0.02,8.96,3.43,0.99
-15,-60,-60,26,26,0.03,0.03,0.01,9.07,3.5,0.94
-13,-60,-60,30,30,0.01,0.03,0.01,9,3.59,1.05
-14,-60,-60,26,26,-0.02,0.03,0.01,8.92,3.61,1.05
-12,-60,-60,26,26,0.01,0.02,0.02,8.95,3.59,1.04
-13,-60,-60,28,28,0.03,0.02,0.02,9.02,3.62,1.03
-14,-60,-60,26,26,0.02,0.03,0.02,9,3.6,0.89
-15,-60,-60,28,28,0.01,0.04,0.02,8.9,3.47,0.95
-13,-60,-60,28,28,0,0.03,0.01,8.91,3.39,1
-14,-60,-60,30,30,0.03,0.03,0.01,8.96,3.47,1
-12,-60,-60,26,26,0.03,0.03,0.01,8.99,3.6,1.08
-13,-60,-60,28,28,0,0.03,0,8.95,3.53,0.98
-14,-60,-60,28,28,-0.01,0.03,0.01,8.97,3.54,1.07
-15,-60,-60,28,28,-0.01,0.03,0.01,8.94,3.61,1.07
-13,-60,-60,30,30,0,0,0.02,9.04,3.64,1.11
-12,-60,-60,28,28,-0.01,0.03,0.03,9.04,3.66,0.98
-13,-60,-60,28,28,-0.04,0.03,0.02,9.01,3.47,1.17
-14,-60,-60,30,30,0.04,0.03,0.03,8.92,3.53,1.02
-15,-60,-60,26,26,0.03,-0.01,0.02,9,3.62,0.88
-13,-60,-60,26,26,-0.01,-0.01,0.02,9.04,3.46,0.93
-14,-60,-60,26,26,0.01,0.02,0.01,9.03,3.49,0.83
-12,-60,-60,26,26,-0.01,0.04,0.01,8.84,3.42,0.79
-13,-60,-60,26,26,0,0.01,0.01,8.97,3.62,0.87
-14,-60,-60,26,26,0,0.01,0.01,8.97,3.66,0.99
-15,-60,-60,28,28,-0.05,0.06,0.02,8.99,3.55,0.89
-13,-60,-60,28,28,-0.05,0.07,0.01,8.83,3.47,0.93
-14,-60,-60,26,26,-0.04,0.02,0,8.91,3.57,1.18
-12,-60,-60,28,28,-0.06,0.01,0.01,9.06,3.54,1.28
-13,-60,-60,30,30,-0.04,0.02,0,9.1,3.55,0.98
-14,-60,-60,30,30,-0.02,0.04,0,8.91,3.68,0.99
-15,-60,-60,28,28,0,0.03,0.02,8.94,3.64,0.95
-13,-60,-60,28,28,-0.03,0.03,0.02,8.83,3.49,0.95
-14,-60,-60,28,28,0,0.02,0.02,8.96,3.43,0.99
-12,-60,-60,26,26,0.03,0.03,0.01,9.07,3.5,0.94
-13,-60,-60,30,30,0.01,0.03,0.01,9,3.59,1.05
-14,-60,-60,26,26,-0.02,0.03,0.01,8.92,3.61,1.05
-15,-60,-60,26,26,0.01,0.02,0.02,8.95,3.59,1.04
-13,-60,-60,28,28,0.03,0.02,0.02,9.02,3.62,1.03
-14,-60,-60,26,26,0.02,0.03,0.02,9,3.6,0.89
-12,-60,-60,28,28,0.01,0.04,0.02,8.9,3.47,0.95
-13,-60,-60,28,28,0,0.03,0.01,8.91,3.39,1
-14,-60,-60,30,30,0.03,0.03,0.01,8.96,3.47,1
-15,-60,-60,26,26,0.03,0.03,0.01,8.99,3.6,1.08
-13,-60,-60,28,28,0,0.03,0,8.95,3.53,0.98
-14,-60,-60,28,28,-0.01,0.03,0.01,8.97,3.54,1.07
-12,-60,-60,28,28,-0.01,0.03,0.01,8.94,3.61,1.07
-13,-60,-60,30,30,0,0,0.02,9.04,3.64,1.11
-14,-60,-60,28,28,-0.01,0.03,0.03,9.04,3.66,0.98
-15,-60,-60,28,28,-0.04,0.03,0.02,9.01,3.47,1.17
